date,sales,onpromotion,dcoilwtico,transactions,dayofweek,is_weekend,is_holiday_overall
2013-01-01,0.0,0,93.14,0.0,1,0,1
2013-01-02,1091.0,0,93.14,2111.0,2,0,0
2013-01-03,919.0,0,92.97,1833.0,3,0,0
2013-01-04,953.0,0,93.12,1863.0,4,0,0
2013-01-05,1160.0,0,93.12,1509.0,5,1,1
2013-01-06,407.0,0,93.12,520.0,6,1,0
2013-01-07,1158.0,0,93.2,1807.0,0,0,0
2013-01-08,1029.0,0,93.21,1869.0,1,0,0
2013-01-09,1186.0,0,93.08,1910.0,2,0,0
2013-01-10,847.0,0,93.81,1679.0,3,0,0
2013-01-11,1033.0,0,93.6,1813.0,4,0,0
2013-01-12,1143.0,0,93.6,1473.0,5,1,1
2013-01-13,572.0,0,93.6,542.0,6,1,0
2013-01-14,1178.0,0,94.27,1780.0,0,0,0
2013-01-15,1149.0,0,93.26,1680.0,1,0,0
2013-01-16,1043.0,0,94.28,1933.0,2,0,0
2013-01-17,898.0,0,95.49,1786.0,3,0,0
2013-01-18,1130.0,0,95.61,1745.0,4,0,0
2013-01-19,1280.0,0,95.61,1389.0,5,1,0
2013-01-20,453.0,0,95.61,507.0,6,1,0
2013-01-21,1104.0,0,95.61,1770.0,0,0,0
2013-01-22,1037.0,0,96.09,1762.0,1,0,0
2013-01-23,1052.0,0,95.06,1873.0,2,0,0
2013-01-24,846.0,0,95.35,1616.0,3,0,0
2013-01-25,1103.0,0,95.15,1770.0,4,0,0
2013-01-26,965.0,0,95.15,1295.0,5,1,0
2013-01-27,417.0,0,95.15,542.0,6,1,0
2013-01-28,772.0,0,95.95,1738.0,0,0,0
2013-01-29,932.0,0,97.62,1772.0,1,0,0
2013-01-30,1031.0,0,97.98,1877.0,2,0,0
2013-01-31,889.0,0,97.65,1707.0,3,0,0
2013-02-01,941.0,0,97.46,1806.0,4,0,0
2013-02-02,1005.0,0,97.46,1377.0,5,1,0
2013-02-03,442.0,0,97.46,531.0,6,1,0
2013-02-04,775.0,0,96.21,1714.0,0,0,0
2013-02-05,794.0,0,96.68,1775.0,1,0,0
2013-02-06,923.0,0,96.44,1853.0,2,0,0
2013-02-07,794.0,0,95.84,1727.0,3,0,0
2013-02-08,949.0,0,95.71,1878.0,4,0,0
2013-02-09,783.0,0,95.71,1104.0,5,1,0
2013-02-10,185.0,0,95.71,374.0,6,1,0
2013-02-11,172.0,0,97.01,396.0,0,0,1
2013-02-12,280.0,0,97.48,487.0,1,0,1
2013-02-13,823.0,0,97.03,1921.0,2,0,0
2013-02-14,728.0,0,97.3,2119.0,3,0,0
2013-02-15,905.0,0,95.95,1787.0,4,0,0
2013-02-16,989.0,0,95.95,1263.0,5,1,0
2013-02-17,299.0,0,95.95,399.0,6,1,0
2013-02-18,933.0,0,95.95,1742.0,0,0,0
2013-02-19,852.0,0,96.69,1806.0,1,0,0
2013-02-20,882.0,0,94.92,1835.0,2,0,0
2013-02-21,910.0,0,92.79,1756.0,3,0,0
2013-02-22,959.0,0,93.12,1805.0,4,0,0
2013-02-23,1000.0,0,93.12,1448.0,5,1,0
2013-02-24,439.0,0,93.12,512.0,6,1,0
2013-02-25,851.0,0,92.74,1760.0,0,0,0
2013-02-26,787.0,0,92.63,1804.0,1,0,0
2013-02-27,962.0,0,92.84,1845.0,2,0,0
2013-02-28,960.0,0,92.03,1763.0,3,0,0
2013-03-01,911.0,0,90.71,1916.0,4,0,0
2013-03-02,1221.0,0,90.71,1332.0,5,1,0
2013-03-03,372.0,0,90.71,547.0,6,1,0
2013-03-04,1037.0,0,90.13,1841.0,0,0,0
2013-03-05,780.0,0,90.88,1750.0,1,0,0
2013-03-06,1069.0,0,90.47,1929.0,2,0,0
2013-03-07,1094.0,0,91.53,1751.0,3,0,0
2013-03-08,1186.0,0,92.01,1960.0,4,0,0
2013-03-09,1089.0,0,92.01,1337.0,5,1,0
2013-03-10,548.0,0,92.01,538.0,6,1,0
2013-03-11,1072.0,0,92.07,1874.0,0,0,0
2013-03-12,833.0,0,92.44,1734.0,1,0,0
2013-03-13,1078.0,0,92.47,1841.0,2,0,0
2013-03-14,753.0,0,93.03,1751.0,3,0,0
2013-03-15,967.0,0,93.49,1812.0,4,0,0
2013-03-16,1092.0,0,93.49,1238.0,5,1,0
2013-03-17,466.0,0,93.49,561.0,6,1,0
2013-03-18,772.0,0,93.71,1696.0,0,0,0
2013-03-19,836.0,0,92.44,1728.0,1,0,0
2013-03-20,1059.0,0,93.21,1879.0,2,0,0
2013-03-21,756.0,0,92.46,1727.0,3,0,0
2013-03-22,842.0,0,93.41,1689.0,4,0,0
2013-03-23,985.0,0,93.41,1358.0,5,1,0
2013-03-24,390.0,0,93.41,531.0,6,1,0
2013-03-25,856.0,0,94.55,1770.0,0,0,0
2013-03-26,788.0,0,95.99,1700.0,1,0,0
2013-03-27,1198.0,0,96.53,1840.0,2,0,0
2013-03-28,1043.0,0,97.24,1729.0,3,0,0
2013-03-29,280.0,0,97.24,474.0,4,0,0
2013-03-30,787.0,0,97.24,1002.0,5,1,0
2013-03-31,400.0,0,97.24,464.0,6,1,0
2013-04-01,931.0,0,97.1,1894.0,0,0,0
2013-04-02,1083.0,0,97.23,1705.0,1,0,0
2013-04-03,1082.0,0,95.02,1912.0,2,0,0
2013-04-04,809.0,0,93.26,1723.0,3,0,0
2013-04-05,1025.0,0,92.76,1899.0,4,0,0
2013-04-06,1053.0,0,92.76,1349.0,5,1,0
2013-04-07,431.0,0,92.76,521.0,6,1,0
2013-04-08,896.0,0,93.36,1824.0,0,0,0
2013-04-09,826.0,0,94.18,1744.0,1,0,0
2013-04-10,1165.0,0,94.59,1916.0,2,0,0
2013-04-11,867.0,0,93.44,1638.0,3,0,0
2013-04-12,1122.0,0,91.23,1860.0,4,0,0
2013-04-13,1030.0,0,91.23,1338.0,5,1,0
2013-04-14,398.0,0,91.23,525.0,6,1,0
2013-04-15,842.0,0,88.75,1804.0,0,0,0
2013-04-16,919.0,0,88.73,1757.0,1,0,0
2013-04-17,951.0,0,86.65,1807.0,2,0,0
2013-04-18,785.0,0,87.83,1607.0,3,0,0
2013-04-19,862.0,0,88.04,1737.0,4,0,0
2013-04-20,1192.0,0,88.04,1335.0,5,1,0
2013-04-21,427.0,0,88.04,505.0,6,1,0
2013-04-22,853.0,0,88.81,1838.0,0,0,0
2013-04-23,832.0,0,89.21,1697.0,1,0,0
2013-04-24,1009.0,0,91.07,1921.0,2,0,0
2013-04-25,898.0,0,93.27,1660.0,3,0,0
2013-04-26,952.0,0,92.63,1843.0,4,0,0
2013-04-27,1012.0,0,92.63,1314.0,5,1,0
2013-04-28,447.0,0,92.63,517.0,6,1,0
2013-04-29,722.0,0,94.09,1653.0,0,0,1
2013-04-30,1106.0,0,93.22,1897.0,1,0,0
2013-05-01,418.0,0,90.74,613.0,2,0,1
2013-05-02,995.0,0,93.7,1763.0,3,0,0
2013-05-03,1207.0,0,95.25,1847.0,4,0,0
2013-05-04,1091.0,0,95.25,1347.0,5,1,0
2013-05-05,528.0,0,95.25,538.0,6,1,0
2013-05-06,1055.0,0,95.8,1834.0,0,0,0
2013-05-07,988.0,0,95.28,1792.0,1,0,0
2013-05-08,987.0,0,96.24,1904.0,2,0,0
2013-05-09,812.0,0,96.09,1813.0,3,0,0
2013-05-10,952.0,0,95.81,1959.0,4,0,0
2013-05-11,1114.0,0,95.81,1488.0,5,1,1
2013-05-12,384.0,0,95.81,549.0,6,1,1
2013-05-13,992.0,0,94.76,1784.0,0,0,0
2013-05-14,1024.0,0,93.96,1747.0,1,0,0
2013-05-15,928.0,0,93.95,1887.0,2,0,0
2013-05-16,1040.0,0,94.85,1781.0,3,0,0
2013-05-17,939.0,0,95.72,1883.0,4,0,0
2013-05-18,971.0,0,95.72,1299.0,5,1,0
2013-05-19,354.0,0,95.72,497.0,6,1,0
2013-05-20,819.0,0,96.29,1732.0,0,0,0
2013-05-21,719.0,0,95.55,1692.0,1,0,0
2013-05-22,871.0,0,93.98,1865.0,2,0,0
2013-05-23,974.0,0,94.12,1753.0,3,0,0
2013-05-24,325.0,0,93.84,496.0,4,0,1
2013-05-25,827.0,0,93.84,1107.0,5,1,0
2013-05-26,310.0,0,93.84,411.0,6,1,0
2013-05-27,805.0,0,93.84,1748.0,0,0,0
2013-05-28,739.0,0,94.65,1787.0,1,0,0
2013-05-29,1021.0,0,93.13,1815.0,2,0,0
2013-05-30,811.0,0,93.57,1737.0,3,0,0
2013-05-31,913.0,0,91.93,1818.0,4,0,0
2013-06-01,1114.0,0,91.93,1357.0,5,1,0
2013-06-02,335.0,0,91.93,430.0,6,1,0
2013-06-03,1049.0,0,93.41,1882.0,0,0,0
2013-06-04,1006.0,0,93.36,1785.0,1,0,0
2013-06-05,1143.0,0,93.66,1845.0,2,0,0
2013-06-06,957.0,0,94.71,1815.0,3,0,0
2013-06-07,968.0,0,96.11,1885.0,4,0,0
2013-06-08,1105.0,0,96.11,1279.0,5,1,0
