seed,timeout,rmse,mae,r2
20,1,174.282,140.561,0.873
20,5,186.201,156.401,0.855
20,10,186.625,156.847,0.849
20,15,194.322,162.574,0.842
20,30,178.134,144.298,0.867
20,60,181.586,147.121,0.862
20,120,190.403,156.119,0.848
30,1,174.282,140.561,0.873
30,5,174.276,140.548,0.873
30,10,173.347,140.099,0.874
30,15,174.269,140.534,0.873
30,30,174.273,140.542,0.873
30,60,168.592,136.859,0.881
30,120,181.676,145.559,0.862
42,1,169.167,130.776,0.880
42,5,174.282,140.561,0.873
42,10,174.507,140.563,0.873
42,15,174.27,140.536,0.873
42,30,179.641,150.884,0.865
42,60,174.273,140.541,0.873
42,120,166.041,134.606,0.885
