forecast,actual
2350.4286665819627,2203.0
1809.642595642169,2128.0
2372.2475061455184,2496.0
2428.42167576198,2596.0
998.7636648479115,1135.0
2315.6062057352283,2526.0
2383.1117142967687,2284.0
2422.2078903178635,2691.0
1888.4639548660502,2284.0
2158.3771487601457,2574.0
2238.80252858763,2351.0
1098.3615667336196,1181.0
2204.8064796273097,2338.0
2143.893286374569,2372.0
2445.7432575439248,2460.0
2006.7082685895316,2115.0
2433.065351681353,2529.0
2432.648149626533,2183.0
1199.81982586154,1079.0
2386.5815680599285,2381.0
2426.922128170695,2589.0
2452.629450727347,2369.0
2047.5777241512633,2006.0
2516.5821543505053,2859.0
2451.7974673970666,2258.0
1244.2844257470663,1024.0
2421.6246541764144,2158.0
2346.8295060868163,2438.0
2377.3545707547582,2242.0
2028.51270772708,2002.0
2578.9544533278463,2358.0
2217.807176895851,2161.0
1202.3998455097721,1212.0
2300.80286203684,2414.0
2496.402294001826,2627.0
2371.1876695957935,2645.0
1931.6903573179723,2037.0
2532.9209330927247,2479.0
2250.8373035952964,2093.0
1238.5822771983906,968.0
2258.9165267582134,2086.0
2389.874584349554,2418.0
